date,id,news_heading_eng,news_heading_swa,news_type
2022-03-27,tl42,crossroads,njia panda,Local News
2021-05-13,tl1385,kagwe claims the organization wanted to avoid taxes on hiv drugs,kagwe adai shirika lilitaka kukwepa kodi kwenye dawa za vvu,Local News
2021-09-14,tl858,fake doctors accused of injecting people with fake johnson & johnson vaccines,madaktari bandia washtakiwa kwa kuwadunga watu sindano bandia za johnson & johnson,Health news
2022-03-21,bbc635,kenya : disaster roads in kenya,kenya : barabara za maafa nchini kenya,Local News
2021-08-18,tl710,he refused to rob a hotel,alikataa kuiba hoteli,Local News
2019-12-26,bbc122,rosemary odinga regains her eyesight after two years,rosemary odinga apata kuona tena baada ya miaka miwili,Local News
2021-05-20,tl1434,man jumps from tenth floor mombasa,mwanamume aruka kutoka ghorofa ya kumi mombasa,Local News
2021-07-06,tl461,members of parliament threaten to fire magoha,wabunge watishia kumfuta kazi magoha,Local News
2021-04-12,tl1230,kenyans continue to pressure the imf to stop lending to kenya,wakenya waendelea kuishinikiza imf kuacha kuikopesha kenya,Local News
2021-03-15,tl1722,families begin to move from the ngong river,familia zaanza kuhama kutoka mto ngong,Local News
2021-10-04,tl992,how presidents avoid taxes and hide billions abroad,jinsi marais wanavyokwepa kodi na kuficha mabilioni nje ya nchi,Financial news
2021-06-21,tl318,kenyan beach volleyball players do not have corona they will compete for the olympic ticket,wachezaji wa mpira wa wavu wa ufukweni kenya hawana corona watashindania tiketi ya olimpiki,Sports news
2019-11-25,bbc89,landslides in west pokot : death toll reaches 56,maporomoko ya ardhi katika pokot magharibi : idadi ya waliofariki imefikia 56,Sports news
2021-07-12,tl478,mku collaborates with the un to care for those living with disabilities .,mku inashirikiana na umoja wa mataifa kuwahudumia wale wanaoishi na ulemavu .,Local News
2020-08-15,bbc350,kenya : will raila odinga run for the presidency again for the fifth time ?,kenya : je raila odinga atawania tena kiti cha urais kwa mara ya tano ?,Local News
2021-07-08,tl467,narrative of mother yashtua court,simulizi ya mahakama ya mama yashtua,Local News
2021-04-20,tl1275,residents of thika to benefit from electricity in the streets,wakazi wa thika kunufaika na umeme mitaani,Local News
2020-09-24,bbc379,officials involved in the corruption of millions of dollars in relation to corona devices in kenya to be named,maafisa waliohusika katika ufisadi wa mamilioni ya dola kuhusiana na vifaa vya corona nchini kenya kutajwa,Local News
2021-07-24,tl571,new law : men cheated on women !,sheria mpya : wanaume walidanganya wanawake !,Local News
2019-11-18,bbc82,kenya and china are still building railways for the benefit of the african economy,kenya na china bado zinajenga reli kwa manufaa ya uchumi wa afrika,International news
2021-11-17,tl1097,miraa chewing destroys the state of hygiene - judge,miraa kutafuna yaharibu hali ya usafi - jaji,Local News
2021-05-06,bbc531,president samia 's visit solution : what have kenya and tanzania benefited from in president samia 's visit ?,ziara ya rais samia suluhu : kenya na tanzania zimenufaika na nini katika ziara ya rais samia ?,Local News
2019-09-24,bbc36,where did the poisonous ginger come from ?,tangawizi yenye sumu ilitoka wapi ?,Local News
2020-06-05,bbc292,corona virus : mombasa confirms 67 patients while the total number of patients reaches 2474 in kenya,virusi vya corona : mombasa yathibitisha wagonjwa 67 huku jumla ya wagonjwa ikifikia 2474 nchini kenya,Local News
2022-01-19,bbc608,bodies recovered from kenya 's yala river : what do we know so far ?,miili iliyopatikana kutoka kwa mto yala nchini kenya : je tunajua nini kufikia sasa ?,Local News
2021-06-29,tl415,cells to raise the flag of somalia,seli za kupandisha bendera ya somalia,Local News
2022-06-15,tl106,mwilu condemns the increase in child rape,mwilu alaani ongezeko la ubakaji kwa watoto,Local News
2021-08-14,tl691,residents fear war between herding communities,wakaazi wahofia vita kati ya jamii za wafugaji,Local News
2021-03-22,tl1756,24 doctors qualified mku,madaktari 24 waliohitimu mku,Local News
2021-07-04,tl443,bbi : there are still many obstacles,bbi : bado kuna vikwazo vingi,Local News
2020-07-07,bbc320,corona virus : kenya to open primary and secondary schools in 2021,virusi vya corona : kenya kufungua shule za msingi na sekondari mwaka wa 2021,Local News
2021-02-03,tl1486,parents of students who burn dormitories should pay the costs - government,wazazi wa wanafunzi wanaochoma mabweni wanapaswa kulipa gharama - serikali,Local News
2021-08-18,tl715,prisoners released to reduce overcrowding,wafungwa waachiwa kupunguza msongamano,Local News
2021-08-02,tl625,religious leaders accuse politicians of sifting through corona,viongozi wa kidini wasuta wanasiasa kupepeta corona,Local News
2022-06-04,tl91,samples of those suspected of suffering from 'monkeypox ' were tested in senegal,sampuli za wale wanaoshukiwa kuugua 'monkeypox ' zilipimwa senegal,Local News
2021-07-22,tl548,the registrar has identified the owner of land with a sh.200 million bond,msajili amemtambua mmiliki wa ardhi kwa dhamana ya sh . milioni 200,Local News
2021-09-02,tl789,corona : the death of a policeman causes concern,corona : kifo cha polisi chazua wasiwasi,Local News
2020-07-06,bbc317,corona virus : will president kenyatta open the economy or focus on the health of kenyans ?,virusi vya corona : je rais kenyatta atafungua uchumi au kuzingatia afya ya wakenya ?,Local News
2020-12-20,bbc440,what does the interruption of diplomatic relations between kenya and somalia mean ?,je kukatizwa kwa uhusiano wa kidiplomasia kati ya kenya na somalia kunamaanisha nini ?,International news
2021-02-26,tl1616,a businessman was brutally murdered - investigation,mfanyabiashara auawa kikatili - uchunguzi,Local News
2021-09-26,tl930,bees attacked and killed an old man who attended his grandson 's funeral,nyuki walimshambulia na kumuua mzee aliyehudhuria mazishi ya mjukuu wake,Local News
2020-12-24,bbc445,brides who loved each other despite their status in kenya,maharusi waliopendana licha ya hali zao nchini kenya,Entertainment news
2020-09-22,bbc375,parliament speaker justin muturi says it is impossible to dissolve parliament in kenya,spika wa bunge justin muturi anasema haiwezekani kuvunja bunge nchini kenya,Local News
2021-05-19,tl1428,dci officers set up camp in kilifi to spy on the kingi government,maafisa wa dci waweka kambi kilifi kupeleleza serikali ya kingi,Local News
2021-07-22,tl554,police prevent citizens from collecting fuel when another truck crashes,polisi wazuia wananchi kukusanya mafuta wakati lori lingine linapoanguka,Local News
2021-04-19,tl1268,alternative system help kra collect sh21 billion,mfumo mbadala wasaidia kra kukusanya sh21 bilioni,Financial news
2021-04-17,tl1263,our intent is to help kenya pay off debt - imf,nia yetu ni kuisaidia kenya kulipa madeni - imf,Financial news
2021-03-16,tl1726,uhuru mourns the journalist who died due to corona,uhuru amuomboleza mwandishi wa habari aliyefariki kutokana na corona,Local News
2020-04-24,bbc237,corona virus : uganda will look to control corona by stopping the drivers of kenya tanzania,virusi vya corona : uganda itajaribu kudhibiti corona kwa kuwasimamisha madereva wa kenya tanzania,Local News
2021-07-04,tl435,coach allegri wants juventus to re-sign midfielder paul pogba from manchester united,kocha allegri ataka juventus kumsajili tena kiungo wa kati paul pogba kutoka manchester united,Sports news
2021-08-22,tl728,religion : we do n't have to pray in bad and good times lest we be captured by pride !,dini : hatuna haja ya kuomba katika nyakati mbaya na nzuri tusije tukatekwa kwa kiburi !,Local News
2021-03-02,tl1632,accused of killing burundian citizens .,watuhumiwa wa mauaji ya raia wa burundi .,Local News
2019-12-11,bbc114,who will lead the city of nairobi after sonko is banned ?,nani ataongoza jiji la nairobi baada ya sonko kupigwa marufuku ?,Local News
2021-05-07,tl1356,counties to be deprived of vaccinations should be sent elsewhere,kaunti zitakazonyimwa chanjo zipelekwe kwingineko,Health news
2021-06-05,tl184,matasi 's wife and son underwent surgery on monday,mke na mtoto wa matasi walifanyiwa upasuaji jumatatu,Local News
2020-10-26,bbc402,james mwangi : is this the smartest dressed person in africa ?,james mwangi : je huyu ndiye mtu aliyevalia nadhifu zaidi barani afrika ?,Entertainment news
2021-05-05,tl1341,transport and transportation activities in zanoga nakuru after the five county circle 'lockdown ' is lifted,shughuli za uchukuzi na uchukuzi zanoga nakuru baada ya duara la kaunti tano 'lockdown ' kuondolewa,Local News
2021-11-25,bbc590,rwandan rights activists want the olomide festival to be cancelled,wanaharakati wa haki za rwanda wanataka tamasha la olomide lifutiliwe mbali,Local News
2021-09-10,tl828,dpp given three days to present evidence in case against three senior police officers,dpp apewa siku tatu kuwasilisha ushahidi kesi dhidi ya maofisa waandamizi watatu wa polisi,Local News
2020-12-18,bbc436,governor sonko of nairobi is removed from power,gavana sonko wa nairobi aondolewa mamlakani,Local News
2020-02-04,bbc147,daniel arap moi : his political life and conflicting views,daniel arap moi : maisha yake ya kisiasa na mitazamo inayokinzana,Local News
2021-06-23,tl351,officers search for bandits who killed a street merchant,maafisa wamtafuta majambazi waliomuua mfanyabiashara wa mtaani,Local News
2022-02-24,tl28,young people are criticized for liking bodaboda instead of studies,vijana wakosolewa kwa kupenda bodaboda badala ya masomo,Local News
2021-02-07,tl1507,i will tell uhuru to fire you atwoli will threaten kagwe,nitamwambia uhuru akufukuze kazi atwoli atamtishia kagwe,Local News
2021-09-11,tl840,3 phd graduate teachers train in kindergarten first grade,3 walimu wahitimu wa phd wafundisha chekechea darasa la kwanza,Local News
2021-12-27,tl1155,church criticizes mandatory vaccination,kanisa lakosoa chanjo ya lazima,Local News
2021-04-08,bbc485,tanzania gives an explanation about its corn being banned in kenya,tanzania yatoa ufafanuzi kuhusu mahindi yake kupigwa marufuku nchini kenya,Local News
2022-03-11,bbc632,elections kenya 2022 : what are the important issues governing the 2022 elections in kenya ?,uchaguzi kenya 2022 : ni masuala gani muhimu yanayosimamia uchaguzi wa 2022 nchini kenya ?,Local News
2022-07-14,tl142,65 criminal suspects arrested in operation kali makadara,watuhumiwa 65 wa makosa ya jinai wakamatwa katika operesheni kali makadara,Local News
2020-10-18,bbc398,kenya is heading for a second wave of the corona virus,kenya inaelekea katika wimbi la pili la virusi vya corona,Local News
2019-11-01,bbc69,a group of hackers from african countries has been arrested in rwanda,kundi la wadukuzi kutoka nchi za afrika wamekamatwa nchini rwanda,International news
2021-05-02,tl1328,dci warns girls against online scammers,dci yaonya wasichana dhidi ya matapeli mitandaoni,Local News
2021-03-01,tl1627,helicopters and luxury cars leaders fighting this week in the election,helikopta na viongozi wa magari ya kifahari wanaopigana wiki hii katika uchaguzi,Local News
2021-07-23,tl568,the driver narrates how he saved passengers when the bus was attacked by terrorists,dereva asimulia jinsi alivyookoa abiria wakati basi liliposhambuliwa na magaidi,Local News
2021-02-01,tl1478,the judge who killed mwilu returned him as acting chief justice,jaji aliyemuua mwilu alimrejesha kuwa kaimu jaji mkuu,Local News
2019-11-21,bbc85,sky news has admitted that the report about the person who fell from the kenya airways flight was false,sky news imekiri kwamba ripoti kuhusu mtu aliyeanguka kutoka kwa ndege ya kenya airways ilikuwa ya uongo,Local News
2020-04-18,bbc230,corona virus : the driver who transported the fake coffin was arrested in kenya,virusi vya corona : dereva aliyesafirisha jeneza bandia alikamatwa nchini kenya,Local News
2021-07-04,tl452,43 migrants die when boat sinks,wahamiaji 43 wafariki wakati boti inazama,Local News
2021-03-11,tl1688,king'ara promises to jack gtma for sh50000 to start a savings program,king'ara aahidi jack gtma kwa sh50000 kuanzisha programu ya akiba,Local News
2021-08-06,tl651,6500 graduates from mku advised to be creative,wahitimu 6500 kutoka mku washauriwa kuwa wabunifu,Local News
2021-12-18,tl1151,'lack of water in schools is an obstacle to efforts to deal with covid-19 ','ukosefu wa maji shuleni ni kikwazo katika juhudi za kukabiliana na covid-19 ',Local News
2021-03-26,tl1784,ministry urges politicians to appear for corona vaccination to build public trust,wizara yawataka wanasiasa kujitokeza kwa chanjo ya corona kujenga imani kwa umma,Health news
2021-04-14,tl1242,corona : oxygen malfunction in hospital kills three,corona : hitilafu ya oksijeni hospitalini yaua watatu,Health news
2020-03-03,bbc174,bbc roses : the story of a woman who wanted to give her life and that of other people,bbc roses : hadithi ya mwanamke ambaye alitaka kutoa maisha yake na ya watu wengine,Entertainment news
2021-09-21,tl900,ocpd honorably rested,ocpd apumzika kwa heshima,Local News
2021-09-20,tl895,four police officers accused of murdering lawyer willy kimani,maafisa wanne wa polisi wanaotuhumiwa kumuua wakili willy kimani,Local News
2020-06-05,bbc293,coronavirus : why is there a state of uncertainty at the namanga and holili border ?,coronavirus : kwa nini kuna hali ya kutokuwa na uhakika katika mpaka wa namanga na holili ?,Local News
2020-10-15,bbc396,daniel wanjiru : the kenyan athletics champion is banned from participating in athletics,daniel wanjiru : bingwa wa riadha nchini kenya amepigwa marufuku kushiriki riadha,Sports news
2021-04-25,tl1295,the government cancels the contract of the fish factory,serikali yafuta mkataba wa kiwanda cha samaki,Local News
2021-06-12,tl266,the building that began to be built in moi 's time will be allocated a budget of sh500 million,jengo lililoanza kujengwa wakati wa moi litatengewa bajeti ya sh500 milioni,Financial news
2022-03-28,bbc638,elections kenya 2022 : is the high cost of running elections in kenya fair ?,uchaguzi kenya 2022 : je gharama ya juu ya kuendesha uchaguzi nchini kenya ni ya haki ?,Local News
2021-06-23,tl332,'odm partnership jubilee hot to be away ','ushirikiano wa odm jubilee moto kuwa mbali ',Local News
2021-02-21,tl1590,jamvi : weta wing musalia kalonzo moi watia raila ruto wasiwasi,jamvi : weta wing musalia kalonzo moi watia raila ruto wasiwasi,Local News
2021-06-12,tl271,will 'ardhi sasa ' network be able to stop land scammers in nairobi and kenya in general ?,je mtandao wa 'ardhi sasa ' utaweza kuwazuia matapeli wa ardhi jijini nairobi na kenya kwa ujumla ?,Local News
2021-04-08,tl1210,we will find you prof ken walibora ',tutakupata prof ken walibora ',Local News
2021-06-04,tl176,nakuru to be a city if the president approves the decision of the senators,nakuru kuwa mji iwapo rais ataidhinisha uamuzi wa maseneta,Local News
2021-07-13,tl482,women take on the roles of old men only if they eat !,wanawake wanachukua majukumu ya wanaume wazee wakila tu !,Local News
2020-10-08,bbc388,what is the meaning of the advice of the dissolution of the kenyan parliament given by chief justice david maraga to president kenyatta ?,nini maana ya ushauri wa kuvunjwa kwa bunge la kenya uliotolewa na jaji mkuu david maraga kwa rais kenyatta ?,Local News
2020-07-22,bbc332,bbc rose : a married woman with two brothers from the same family,bbc rose : mwanamke aliyeolewa na ndugu wawili wa familia moja,Local News
2021-06-10,tl236,roads closed senators are surprised when the minister of nairobi arrives in front of him appearing in the bathroom in the city as the budget is read,barabara zilizofungwa maseneta hushangazwa waziri wa nairobi atakapowasili mbele yake akionekana bafuni jijini huku bajeti ikisomwa,Local News
2021-03-24,tl1775,the animal husbandry department is facing many budget allocation challenges,idara ya ufugaji wa wanyama inakabiliwa na changamoto nyingi za ugawaji wa bajeti,Financial news
2020-04-09,bbc215,corona virus : conflict between civil rights and disease control laws in africa,virusi vya corona : mgogoro kati ya haki za kiraia na sheria za kudhibiti magonjwa barani afrika,International news
2021-03-16,tl1730,kenya lost sh560 billion due to corona 2020 - president kenyatta,kenya ilipoteza sh560 bilioni kutokana na corona 2020 - rais kenyatta,Financial news
2022-05-31,tl86,kwekwe abanwa about sh24.9 million wall,kwekwe abanwa kuhusu ukuta wa sh24.9 milioni,Local News
2021-06-22,tl321,the one who tried to kill him by mistake says he was protecting himself,aliyejaribu kumuua kwa makosa anasema alikuwa akijilinda,Local News
2021-06-03,tl171,woman dies from 'fear of being arrested by the police ' kilifi,mwanamke afariki kutokana na 'hofu ya kukamatwa na polisi ' kilifi,Local News
2021-09-30,tl973,the government asks parents to protect children against harassment and misinformation on the internet,serikali yawataka wazazi kuwalinda watoto dhidi ya unyanyasaji na taarifa potofu mitandaoni,Local News
2019-10-11,bbc54,kenya ferry : gari lililozama baharini limetolewa,kenya ferry : gari lililozama baharini limetolewa,Local News
2021-10-20,tl1055,suspects remain in cell 10 days,washukiwa wabaki kiini siku 10,Local News
2021-06-04,tl178,modern houses built in ruiru and thika,nyumba za kisasa zilizojengwa ruiru na thika,Local News
2020-04-06,bbc208,spencon : how allegations of corruption intimidation and criminal gangs led to the end of a large construction company in africa,spencon : jinsi madai ya ufisadi vitisho na magenge ya uhalifu yalivyosababisha kumalizika kwa kampuni kubwa ya ujenzi barani afrika .,International news
2021-08-25,tl742,uhuru suspends judge kazi,uhuru amsimamisha kazi jaji kazi,Local News
2019-09-02,bbc23,hells gate : 'hell gate ' is closed after tourists die .,hells gate : 'hell gate ' imefungwa baada ya watalii kufa .,Local News
2021-03-11,tl1690,the councilor turns into a chef selling food,diwani ageuka kuwa mpishi anayeuza chakula,Local News
2020-02-09,bbc154,daniel toroitich arap moi : kenyans pay their last respects for the second day in a row,daniel toroitich arap moi : wakenya watoa heshima zao za mwisho kwa siku ya pili mfululizo,International news
2021-08-15,tl696,democracy fighter nthenge is buried without fanfare,mpigania demokrasia nthenge azikwa bila ushabiki,Local News
2021-03-04,tl1649,we provide important services we should be given the corona vaccine say the bodaboda people .,tunatoa huduma muhimu tupewe chanjo ya corona tuseme watu wa bodaboda .,Health news
2021-04-25,tl1296,how the covid-19 pandemic has contributed to the increase in cases of sexual violence,jinsi janga la covid-19 lilivyochangia ongezeko la visa vya unyanyasaji wa kijinsia,Local News
2021-08-31,tl777,kenya needs modern methods to improve infrastructure,kenya yahitaji mbinu za kisasa kuboresha miundombinu,Local News
2021-06-08,tl206,the cry of the elders of maumau kirinyaga,kilio cha wazee wa maumau kirinyaga,Local News
2019-08-30,bbc20,kenya : who is killing young people 'arbitrarily ' in the streets of shanties ?,kenya : nani anawaua vijana 'kiholela ' katika mitaa ya vibanda ?,Local News
2021-02-11,tl1530,the 'same ' razor that shaved kang'ata,wembe wa 'same ' uliomnyoa kang'ata,Entertainment news
2021-05-02,bbc524,tanzanian president samia suluhu to make a working visit to kenya,rais wa tanzania samia suluhu kufanya ziara ya kikazi nchini kenya,Local News
2021-06-22,tl326,argentina defeated paraguay while chile came out equally strong with uruguay in the copa america,argentina iliishinda paraguay huku chile ikitoka kwa nguvu sawa na uruguay katika michuano ya copa america,Sports news
2021-03-02,tl1635,youth planned to disrupt ruto 's events - police,vijana wapanga kuvuruga matukio ya ruto - polisi,Entertainment news
2021-07-31,bbc560,the kenyan athlete is excluded from the olympics,mwanariadha huyo wa kenya ameondolewa kwenye michuano ya olimpiki,Sports news
2021-12-31,tl1163,drugs : magoha aunga students should be tested .,dawa za kulevya : wanafunzi wa magoha aunga wanapaswa kupimwa .,Health news
2020-12-18,bbc437,mike gidion kioko mbuvi sonko the 'bling bling ' governor,mike gidion kioko mbuvi sonko gavana wa 'bling bling ',Local News
2021-09-07,tl818,hospital products seller is given time to pay sh883000 debt,muuzaji wa bidhaa za hospitali apewa muda wa kulipa deni la sh883000,Local News
2020-05-22,bbc278,corona virus : kenya reaches the peak of infection between august and september,virusi vya corona : kenya yafikia kilele cha maambukizi kati ya agosti na septemba,Local News
2021-05-30,tl1464,company discovers large amount of gold,kampuni yagundua kiasi kikubwa cha dhahabu,Local News
2022-06-24,tl117,about 50000 kiambu residents receive land titles,takriban wakazi 50000 wa kiambu wapokea hati miliki za ardhi,Local News
2020-09-28,bbc383,how are kenyan parents prepared if schools open ?,je wazazi wa kenya wanatayarishwa vipi ikiwa shule zitafunguliwa ?,Local News
2021-07-10,tl474,a kenyan who was beaten by a chinese man was paid sh3 million,mkenya aliyepigwa na mchina alilipwa sh3 milioni,International news
2019-08-29,bbc19,who warns of counterfeit drugs in kenya uganda,who yaonya kuhusu dawa ghushi nchini kenya uganda,Health news
2020-04-07,bbc212,corona virus : two patients recover in tanzania while 14 more get infected in kenya,virusi vya corona : wagonjwa wawili wapona nchini tanzania huku wengine 14 wakiambukizwa nchini kenya,Local News
2021-03-18,tl1738,kenyan governors mourn president magufuli,magavana wa kenya waomboleza rais magufuli,Local News
2021-08-26,tl750,bishop agrees to take care of stepchild,askofu akubali kumtunza mtoto wa kambo,Local News
2021-10-10,tl1025,the ministry issues a warning against the use of pesticides,wizara yatoa tahadhari dhidi ya matumizi ya viuatilifu,Local News
2021-09-16,tl870,report raises concerns about pork safety,ripoti yaibua wasiwasi kuhusu usalama wa nyama ya nguruwe,Local News
2021-11-16,tl1093,demonstrators take dead bodies to the government office,waandamanaji wapeleka maiti katika ofisi ya serikali,Local News
2021-08-05,bbc564,1998 bombings : kenya 's anti-terror tactics fueled terrorist attacks,milipuko ya 1998 : mbinu za kenya za kupambana na ugaidi zilichochea mashambulizi ya kigaidi,Local News
2021-04-15,tl1252,governors hepa the issue of waste of corona money,magavana hepa suala la upotevu wa pesa za corona,Local News
2022-01-02,bbc603,charles njonjo : the first kenyan attorney general dies,charles njonjo : mwanasheria mkuu wa kwanza wa kenya afariki,Local News
2020-08-11,bbc345,the tcra provides clarification on the content of international media,tcra inatoa ufafanuzi kuhusu maudhui ya vyombo vya habari vya kimataifa,Local News
2021-07-06,tl460,differences emerge regarding the appointment of female officers,tofauti zajitokeza kuhusu uteuzi wa maafisa wanawake,Local News
2021-02-22,tl1591,covid : government strengthens border patrol,covid : serikali yaimarisha doria mipakani,Local News
2020-11-17,bbc412,the art of poetry belongs to mombasa,sanaa ya ushairi ni ya mombasa,Entertainment news
2021-09-03,tl796,moi 's grandson accepts children he denied before,mjukuu wa moi akubali watoto aliowakana kabla,Local News
2021-08-14,tl681,father and children accused of theft of sh.54 million,baba na watoto watuhumiwa kwa wizi wa sh.54 milioni,Local News
2020-11-18,bbc414,bbc africa eye : kenya arrests network of child thieves,bbc africa eye : kenya yakamata mtandao wa wezi wa watoto,Local News
2021-06-25,tl391,anticipated dust rivals germany england meet round of 16-best,wapinzani wa vumbi wanaotarajiwa ujerumani uingereza wakutana raundi ya 16-bora,Sports news
2021-04-22,tl1284,kcse : results released may,kcse : matokeo yaliyotolewa mei,Local News
2021-03-29,tl1803,kcse : magoha orders police to confiscate phones to prevent exam cheating,kcse : magoha aamuru polisi kunyang'anya simu kuzuia udanganyifu wa mitihani,Local News
2021-01-12,bbc448,two ministers of malawi died due to corona,mawaziri wawili wa malawi walifariki kutokana na corona,Local News
2022-04-13,bbc644,bbc rose : claudette who estimates she weighs more than 200kg lives with obesity,bbc rose : claudette ambaye anakadiria kuwa na uzani wa zaidi ya kilo 200 anaishi na unene uliokithiri,Health news
2021-02-10,bbc456,the american embassy in tanzania warns of corona infection,ubalozi wa marekani nchini tanzania waonya kuhusu maambukizi ya corona,International news
2021-02-15,tl1555,bbi chairman buried without political sparks,mwenyekiti wa bbi azikwa bila cheche za kisiasa,Local News
2021-07-22,tl563,judges chitebwe and muchelule arrested,majaji chitebwe na muchelule wakamatwa,Local News
2021-02-17,tl1568,kisumu sgr completion 2022,kukamilika kwa kisumu sgr 2022,Local News
2021-04-16,tl1259,judge wants his wife to be paid as chief justice,jaji ataka mkewe alipwe kama jaji mkuu,Local News
2021-09-19,tl892,government to share payment with nurses sent to uk .,serikali kugawana malipo na wauguzi waliopelekwa uingereza .,International news
2021-09-12,tl847,6 girls expelled from school for drugs,wasichana 6 wafukuzwa shule kwa madawa ya kulevya,Local News
2021-10-13,tl1030,a 75-year-old grandfather remains in custody,babu mwenye umri wa miaka 75 aendelea kushikiliwa,Local News
2021-04-10,tl1222,a soldier accused of abusing a person is released,askari anayetuhumiwa kumnyanyasa mtu aachiwa huru,Local News
2021-08-30,tl776,accused of threatening to kill a woman for rejecting engagement,mtuhumiwa kutishia kumuua mwanamke kwa kukataa ushiriki,Local News
2022-07-15,tl144,fida encourages voters to elect women to increase their number in parliament,fida yawahimiza wapiga kura kuwachagua wanawake kuongeza idadi yao bungeni,Local News
2021-07-23,tl569,magoha was angry with his officials for failing to play the video .,magoha alikasirishwa na maafisa wake kwa kushindwa kucheza video hiyo .,Local News
2021-08-29,tl765,mku receives a special certificate for being recognized as an official center for awarding graduates with original academic certificates,mku yapokea cheti maalum cha kutambuliwa kama kituo rasmi cha kuwatunuku wahitimu wenye vyeti vya awali vya kitaaluma,Local News
2021-08-14,tl686,a man is accused of threatening to kill a woman if she refuses they are dating,mwanaume anatuhumiwa kutishia kumuua mwanamke endapo atakataa wanachumbiana,Local News
2021-10-22,tl1059,buses resume their night trips the government hesitates to issue guidance,mabasi yaanza safari zao za usiku serikali yasita kutoa mwongozo,Local News
2021-06-23,tl341,no condoms when team kenya lands in tokyo for the olympics,hakuna kondomu wakati timu ya kenya itakapotua tokyo kwa michezo ya olimpiki,Sports news
2021-05-07,tl1359,kenya takes the championship in the drug market,kenya yachukua ubingwa katika soko la dawa za kulevya,Local News
2020-04-27,bbc241,corona virus : restaurants are open in kenya as 8 more people are infected with corona,virusi vya corona : migahawa imefunguliwa nchini kenya huku watu 8 zaidi wakiambukizwa virusi vya corona,Local News
2021-09-21,tl902,the suspect of defilement escapes being burned at camp fire,mtuhumiwa wa uchafu atoroka kuchomwa moto kambini,Local News
2021-04-26,tl1299,girl confesses to changing pregnancy tests to save the impure one,msichana akiri kubadilisha vipimo vya ujauzito ili kuokoa mvuke,Local News
2019-11-15,bbc79,confusion over the identity of the man who fell from the kenya airways plane,mkanganyiko kuhusu utambulisho wa mtu aliyeanguka kutoka kwa ndege ya kenya airways,Local News
2021-05-17,tl1414,king'ara will state the reasons for wanting ruiru to be divided into three constituencies,mfalme'ara ataeleza sababu za kutaka ruiru agawanywe katika maeneo bunge matatu,Local News
2021-07-03,tl431,counties encouraged to embrace the vba,kaunti zahimizwa kukumbatia vba,Local News
2019-11-26,bbc90,landslides in west pokot : security officials arrive to provide assistance,maporomoko ya ardhi pokot magharibi : maafisa wa usalama wawasili kutoa usaidizi,Local News
2021-03-28,tl1793,13 people were killed by corona,watu 13 wauawa na corona,Local News
2021-02-03,tl1485,otieno returns from zambia to be stopped at camp mwa sofapaka,otieno arejea kutoka zambia kusimamishwa kambini mwa sofapaka,Local News
2022-01-01,tl2,let us not forget,tusisahau,Local News
2022-06-15,bbc503,bbc rose : a mother recounts the pain of the murder of her unique sons,bbc rose : mama anasimulia uchungu wa mauaji ya wanawe wa kipekee,Local News
2020-08-12,bbc346,bbc rose : 'grief made me a sex addict ',bbc rose : 'huzuni ilinifanya kuwa mraibu wa ngono ',Health news
2021-03-15,tl1721,families begin to move from the ngong river,familia zaanza kuhama kutoka mto ngong,Local News
2019-10-09,bbc49,ineos 1:59 : kenyan olympic champion eliud kipchoge is determined to make history will he succeed ?,ineos 1:59 : bingwa wa olimpiki mkenya eliud kipchoge amepania kuweka historia je atafaulu ?,Sports news
2021-03-22,tl1762,cyrus ruru dies and leaves questions about diwani 's death 2012,koreshi ruru afariki dunia na kuacha maswali kuhusu kifo cha diwani 2012,Local News
2021-04-08,tl1212,president kenyatta inaugurates security department weapons factory ruiru,rais kenyatta azindua kiwanda cha silaha cha idara ya usalama ruiru,Local News
2021-02-16,tl1561,they denied stealing sh3.5 m the deceased 's money,walikana kuiba sh3.5 m pesa za marehemu,Local News
2021-06-02,tl164,saint george ethiopia kenyans pray for matasi 's relief after a serious road accident,mtakatifu george ethiopia wakenya waombea afueni ya matasi baada ya ajali mbaya ya barabarani,Local News
2022-06-02,tl87,raila misses the opportunity to address like previous events,raila akosa fursa ya kuhutubia kama matukio yaliyopita,Local News
2021-04-28,tl1312,kenyans mourn philip ochieng,wakenya waomboleza philip ochieng,Local News
2021-06-23,tl333,let muturi point to mt . kenya and speak with one voice,acha muturi aelekeze kwa mt . kenya na azungumze kwa sauti moja,Local News
2022-07-06,tl131,advocate requests kws to be given more funding,wakili aomba kws kupewa ufadhili zaidi,Local News
2021-08-09,tl662,dr. ruto 's native turk is expelled from the country,mturuki mzawa wa dkt ruto afukuzwa nchini,Local News
2021-06-20,tl310,the government warns of the third wave of corona in tanzania,serikali yaonya kuhusu wimbi la tatu la corona tanzania,Health news
2021-06-03,tl168,female students benefit from sodo funding,wanafunzi wa wanufaika na ufadhili wa sodo,Financial news
2021-05-05,tl1342,yatanda who was killed in an al-shabaab attack is buried in lamu,yatanda ambaye aliuawa katika shambulio la al-shabaab azikwa lamu,Local News
2021-06-23,tl336,raila kalonzo take their war to mt kenya,raila kalonzo wapeleka vita vyao mt kenya,Local News
2021-04-09,tl1218,those found with alcohol police station wachesha korti,wale waliopatikana na kituo cha polisi cha pombe wachesha korti,Local News
