date,id,news_heading_eng,news_heading_swa,News type
2021-06-23,tl350,it 's gor and wazito with tusker watching the table,ni gor na wazito huku tusker akitazama jedwali,Local News
2021-03-01,tl1628,the threat of starvation due to the lack of lamu water,tishio la njaa kutokana na ukosefu wa maji la lamu,Local News
2021-08-06,tl650,students who suffer from corona do not show symptoms - kagwe,wanafunzi wanaougua corona hawaonyeshi dalili - kagwe,Health news
2021-09-24,tl919,officer gets in trouble for mocking the judge,afisa apata shida kwa kumdhihaki jaji,Local News
2021-06-03,tl173,maize yield decline – research,kupungua kwa mazao ya mahindi – utafiti,Local News
2021-10-13,tl1030,a 75-year-old grandfather remains in custody,babu mwenye umri wa miaka 75 aendelea kushikiliwa,Local News
2022-05-31,tl86,kwekwe abanwa about sh24.9 million wall,kwekwe abanwa kuhusu ukuta wa sh24.9 milioni,Local News
2021-07-30,tl612,artist article - davy dee,makala ya msanii - davy dee,Entertainment news
2021-05-27,tl1456,government employees boycott car loans,wafanyakazi wa serikali wasusia mikopo ya magari,Local News
2022-06-11,tl99,principal of kizimbani primary school for looting sh2 million,mkuu wa shule ya msingi kizimbani kwa uporaji sh2 milioni,Local News
2021-05-17,tl1415,jubilee launches violent campaigns to eliminate uda in the election,jubilee yazindua kampeni za ghasia kutokomeza uda katika uchaguzi,Local News
2021-08-12,tl677,natembeya orders liquor stores to be closed in rural hodi hod,natembeya yaagiza maduka ya pombe kufungwa hodi vijijini,Local News
2021-10-18,tl1040,dpp consolidating the case of kimwarer dams and aror,dpp kuimarisha kesi ya mabwawa ya kimwarer na aror,Local News
2021-09-30,tl959,the government violates the constitution to let citizens die of hunger,serikali yakiuka katiba ya kuruhusu wananchi wafe kwa njaa,Local News
2021-03-27,tl1790,uon is closed,uon imefungwa,Local News
2021-04-14,tl1246,man sues magara claiming he is his father,mtu amshtaki magara akidai yeye ni baba yake,Local News
2021-03-26,tl1784,ministry urges politicians to appear for corona vaccination to build public trust,wizara yawataka wanasiasa kujitokeza kwa chanjo ya corona kujenga imani kwa umma,Health news
2021-03-09,tl1680,the voice kiambu organization funds orphans,shirika la sauti kiambu lafadhili watoto yatima,Local News
2022-06-20,tl111,uhuru chairs the meeting of eac presidents to discuss the drc and rwanda conflict,uhuru aongoza mkutano wa marais wa eac kujadili mgogoro wa drc na rwanda,Local News
2021-07-08,tl466,small communities want the president to create a ministry to help them,jamii ndogo zinataka rais aunde wizara ya kuwasaidia,Local News
2021-06-07,tl195,edit : appointment of judges questioned,edit : uteuzi wa majaji waliohojiwa,Local News
2021-06-07,tl194,tanzania to begin vaccination exercise against corona pandemic .,tanzania kuanza zoezi la chanjo dhidi ya janga la corona .,Health news
2021-03-02,tl1639,the head of the hospital is ordered to bring sonko to court,mkuu wa hospitali aagizwa kumfikisha sonko mahakamani,Local News
2021-04-08,tl1206,extreme rape for women avoiding coffee,ubakaji uliokithiri kwa wanawake kuepuka kahawa,Local News
2021-05-19,tl1423,covid : more governors at risk of punishment,covid : magavana zaidi hatarini kuadhibiwa,Local News
2021-04-28,tl1314,doctors who went to cuba are returning to kenya to start work,madaktari waliokwenda cuba warejea kenya kuanza kazi,Local News
2021-06-18,tl302,coffee hours will be extended in 13 counties in the west nyanza,saa za kahawa zitaongezwa katika kaunti 13 magharibi nyanza,Local News
2021-03-16,tl1729,nyeri county aims to vaccinate 2000 bodaboda residents .,kaunti ya nyeri inalenga kuwachanja wakazi 2000 wa bodaboda .,Health news
2021-05-07,tl1353,association of chinese businessmen in kenya gives help to the police,chama cha wafanyabiashara wa china nchini kenya chatoa msaada kwa polisi,Local News
2022-06-27,tl121,the one who hung from the plane was charged today monday with an attempt to commit suicide,aliyening'inia kwenye ndege hiyo ameshtakiwa leo jumatatu kwa jaribio la kujiua,Local News
2021-12-16,tl1144,construction along the ngong river directs water to the move forward school,ujenzi kando ya mto ngong waelekeza maji kwenye shule ya kusonga mbele,Local News
2021-03-31,tl1818,shaffie weru is now chasing sh21 million claiming he was penalized through whatsapp,shaffie weru sasa anafukuzia sh21 milioni akidai aliadhibiwa kupitia whatsapp,Local News
2021-10-08,tl1010,only a small number of those who show up to register to be voters,ni idadi ndogo tu ya wale wanaojitokeza kujiandikisha kuwa wapiga kura,Local News
2021-06-10,tl236,roads closed senators are surprised when the minister of nairobi arrives in front of him appearing in the bathroom in the city as the budget is read,barabara zilizofungwa maseneta hushangazwa waziri wa nairobi atakapowasili mbele yake akionekana bafuni jijini huku bajeti ikisomwa,Local News
2021-09-06,tl813,former senator submits case for 2022 general elections to be postponed to november 28 2023,seneta wa zamani awasilisha kesi ya uchaguzi mkuu wa 2022 kuahirishwa hadi novemba 28 2023,Local News
2021-06-13,tl283,mp wants magoha to be asked about karo .,mbunge anataka magoha aulizwe kuhusu karo .,Local News
2021-06-25,tl400,uruguay sweeps bolivia as paraguay stuns chile in copa america,uruguay yafagia bolivia huku paraguay ikiishangaza chile copa america,Sports news
2021-07-20,tl540,30 children from mukuru receive education funding,watoto 30 kutoka mukuru wapata ufadhili wa elimu,Local News
2021-06-24,tl386,parents are warned about pneumonia outbreaks,wazazi waonywa kuhusu milipuko ya homa ya mapafu,Health news
2021-06-21,tl313,napsa stars who play for kenyans calabar and odhoji are burdened in the zambia premier league,napsa stars inayochezea wakenya calabar na odhoji imeelemewa na mzigo katika ligi kuu ya zambia,Sports news
2021-10-13,tl1028,radol aims to reach international spaces in acting,radol alenga kufikia nafasi za kimataifa katika uigizaji,Entertainment news
2021-11-01,tl1072,the kidnapped gumo man is released,mtu aliyetekwa nyara wa gumo aachiliwa huru,Local News
2021-03-31,tl1814,belgium without de bruyne and lukaku defeated belarus 8-0,ubelgiji bila de bruyne na lukaku ikaishinda belarus 8-0,Sports news
2021-02-16,tl1559,wambora blamed the government for humiliating farmers,wambora ailaumu serikali kwa kuwadhalilisha wakulima,Local News
2021-07-20,tl536,15 families are sleeping outside after their houses were demolished at night,familia 15 zinalala nje baada ya nyumba zao kubomolewa usiku,Local News
2021-02-19,tl1578,the island of the rich to 'tame ' the poor,kisiwa cha matajiri kwa 'tame ' maskini,Local News
2021-08-03,tl640,two brothers denied robbing dubai bank sh154 million,ndugu wawili wakana kuiba benki ya dubai sh154 milioni,International news
2021-07-23,tl567,parents of killed children admit they knew masten wanjala,wazazi wa watoto waliouawa wakiri walimfahamu masten wanjala,Local News
2021-06-10,tl218,get rid of acne on the face by using aloe vera,ondoa acne usoni kwa kutumia aloe vera,Health news
2021-09-15,tl861,the lives of 2000 children are in danger due to the wires hanging from the school gates,maisha ya watoto 2000 yako hatarini kutokana na nyaya kuning'inia kwenye milango ya shule,Local News
2022-01-18,tl14,circus day for wanjigi he sleeps in despite being locked at home,siku ya circus kwa wanjigi analala licha ya kufungiwa nyumbani,Local News
2021-08-13,tl679,the community asked the court to stop the operations of the laikipia government,jamii hiyo iliiomba mahakama kusitisha shughuli za serikali ya laikipia,Local News
2022-06-16,tl107,court overturns decision about sh300000 bond,mahakama yabatilisha uamuzi kuhusu dhamana ya sh300000,Financial news
2021-06-21,tl319,kaizer chiefs playing kenyan akumu one leg final club champion,kaizer chiefs wakicheza bingwa wa fainali ya klabu ya akumu one leg ya kenya,Sports news
2021-06-11,tl241,agriculture chatengewa sh60b,kilimo chatengewa sh60b,Local News
2021-07-03,tl429,coastal counties will be under the microscope about air projects,kaunti za pwani zitakuwa chini ya darubini kuhusu miradi ya hewa,Local News
2022-07-20,tl147,mang ' u shines in the mathematics competition,mang ' u ang'ara katika mashindano ya hisabati,Entertainment news
2021-10-04,tl990,famine : un pledges sh13b to help victims,njaa : un yaahidi sh13b kuwasaidia waathiriwa,International news
2021-06-23,tl357,36 kenyans to represent the nation at the world deaf athletics in poland,wakenya 36 kuwakilisha taifa katika riadha za dunia za viziwi nchini poland,Sports news
2021-09-10,tl830,special laws have been established to control the construction industry,sheria maalum zimeanzishwa ili kudhibiti sekta ya ujenzi,Local News
2021-05-24,tl1451,bakery companies warned against misleading customers about dates,kampuni za bakery zaonywa dhidi ya kupotosha wateja kuhusu tarehe,Local News
2021-03-11,tl1688,king'ara promises to jack gtma for sh50000 to start a savings program,king'ara aahidi jack gtma kwa sh50000 kuanzisha programu ya akiba,Local News
2021-08-03,tl639,corona : mombasa bans home treatment,corona : mombasa yapiga marufuku matibabu nyumbani,Health news
2021-10-04,tl993,uhuru 's plot to demolish ruto revealed,njama ya uhuru ya kumbomoa ruto yafichuliwa,Local News
2021-06-23,tl347,15 murder suspects continue to remand,watuhumiwa 15 wa mauaji waendelea kukamatwa,Local News
2021-03-01,tl1630,those who promote female genital mutilation,wale wanaoendeleza ukeketaji wa wanawake,Health news
2021-09-16,tl875,beach : summer brings disaster,pwani : majira ya joto huleta maafa,Local News
2021-02-24,tl1609,parents are advised to focus on their responsibilities,wazazi washauriwa kuzingatia majukumu yao,Local News
2021-07-15,tl491,lawyers wamrai kangogo surrender,mawakili wamrai kangogo wajisalimisha,Local News
2021-09-16,tl869,the ministry of agriculture engages youth and motivates them to explore agriculture,wizara ya kilimo inawashirikisha vijana na kuwahamasisha kuchunguza kilimo,Local News
2022-06-11,tl100,3 docked for alleged ivory theft,3 kutia nanga kwa madai ya wizi wa pembe za ndovu,Local News
2021-09-11,tl841,free kamket for bondi banned from stepping on guu baringo,kamket huru kwa bondi imepigwa marufuku kuingia guu baringo,Local News
2021-08-01,tl620,as raila weaves odm and nyanza ready for 2022,huku raila akisuka odm na nyanza tayari kwa 2022,Local News
2021-02-20,tl1586,chaos again in the meetings of ruto and raila,ghasia tena katika mikutano ya ruto na raila,Local News
2022-07-07,tl135,raila sakaja kifu forward if the votes smell,raila sakaja kifu mbele kama kura zitanuka,Local News
2021-07-25,tl578,the government will pay sh14 billion in compensation to those attacked by wildlife - balala,serikali italipa fidia ya sh14 bilioni kwa wale walioshambuliwa na wanyamapori - balala,Local News
2021-04-14,tl1244,scholar admits to violating ethics at chief justice 's interview,msomi akiri kukiuka maadili katika mahojiano ya jaji mkuu,Local News
2021-06-12,tl263,the one who threatened to kill his lover is sentenced,aliyetishia kumuua mpenzi wake ahukumiwa,Local News
2022-02-04,tl19,the bill raised fears of a conspiracy to steal votes,mswada huo uliibua hofu ya njama ya kuiba kura,Local News
2021-03-03,tl1647,a woman claims god sent her to give her sh30 million in the kemsa saga,mwanamke mmoja adai mungu alimtuma ampe sh30 milioni katika sakata la kemsa,Local News
2022-02-05,tl20,uhuru names ways to convince raila,uhuru ataja njia za kumshawishi raila,Local News
2021-06-12,tl265,governors tumbototo about projects they started,magavana tumbototo kuhusu miradi waliyoanzisha,Local News
2021-08-09,tl663,isuzu ea plans hot reception kipchoge,isuzu ea mipango moto mapokezi kipchoge,Local News
2021-06-25,tl404,the prime minister of algeria resigns,waziri mkuu wa algeria ajiuzulu,International news
2021-06-24,tl380,that ogier ! he leads the toyota team to grab the first positions .,huyo ogier ! anaongoza timu ya toyota kunyakua nafasi za kwanza .,Sports news
2021-04-30,tl1319,who is kawanyonga ?,kawanyonga ni nani ?,Entertainment news
2021-06-23,tl343,a group of malenga wamilisi and kiswahili are chanda and pete,kundi la malenga wamilisi na kiswahili ni chanda na pete,Local News
2021-10-10,tl1019,kdf helping cope with drought,kdf yasaidia kukabiliana na ukame,Local News
2021-06-08,tl214,uhuru approves nakuru to be kenya 's fourth city,uhuru aidhinisha nakuru kuwa mji wa nne kenya,Local News
2021-08-20,tl719,kdf searching for uniforms in the hands of civilians,kdf kutafuta sare mikononi mwa raia,Local News
2021-06-28,tl408,doctors and fake veterinary officers kiambu to be severely punished,madaktari na maafisa bandia wa mifugo kiambu kuadhibiwa vikali,Local News
2021-07-20,tl542,800 victims of fire and flood tragedy in landimawe ward receive food aid from nairobi county government,waathiriwa 800 wa mkasa wa zimamoto na mafuriko katika wadi ya landimawe wapokea msaada wa chakula kutoka serikali ya kaunti ya nairobi,Local News
2021-09-27,tl932,former algerian prime ministers sentenced to extended,mawaziri wakuu wa zamani wa algeria wahukumiwa kuongezewa muda,Local News
2022-05-05,tl71,bodies of three boys found in pond,miili ya wavulana watatu yapatikana bwawani,Local News
2021-08-05,tl646,businessman accused of attempting to kill two police officers released on sh10 million bail,mfanyabiashara anayetuhumiwa kujaribu kuwaua maafisa wawili wa polisi waachiwa kwa dhamana ya sh10 milioni,Local News
2022-02-24,tl28,young people are criticized for liking bodaboda instead of studies,vijana wakosolewa kwa kupenda bodaboda badala ya masomo,Local News
2021-10-04,tl989,kaparo will be appointed spokesman for his laikipia community,kaparo atateuliwa kuwa msemaji wa jamii yake ya laikipia,Local News
2021-03-31,tl1820,netherlands crush gibraltar mercilessly in world cup qualifiers,uholanzi yaiponda gibraltar bila huruma katika mechi za kufuzu kombe la dunia,Sports news
2021-11-17,tl1097,miraa chewing destroys the state of hygiene - judge,miraa kutafuna yaharibu hali ya usafi - jaji,Local News
2021-05-14,tl1397,ruto targets odinga 's rebels in luo nyanza,ruto awalenga waasi wa odinga katika luo nyanza,Local News
2021-08-26,tl752,dna shows moi 's grandson is the father of the children he is opposing to adopt,dna yaonyesha mjukuu wa moi ndiye baba wa watoto anaopinga kuwaasili,Local News
2021-10-15,tl1034,bungoma county lost sh2.6 billion since 2013,kaunti ya bungoma ilipoteza sh2.6 bilioni tangu 2013,International news
2021-04-12,tl1233,ramadhan : supkem requests the president to help muslims with food and money,ramadhan : supkem amuomba rais kuwasaidia waislamu kwa chakula na pesa,Local News
2021-07-22,tl550,police are blamed for poor selection in the murder case against philip onyancha who expressed his intent to kill 100 women,polisi wanalaumiwa kwa uteuzi mbaya katika kesi ya mauaji dhidi ya philip onyancha ambaye alielezea nia yake ya kuua wanawake 100,Local News
2021-08-18,tl705,he is accused of threatening to kill a woman who refused to have sex,anatuhumiwa kwa kutishia kumuua mwanamke aliyekataa kufanya ngono,Local News
2021-06-24,tl372,ronaldo reaches the record for the best international goalscoring,ronaldo afikia rekodi ya ufungaji bora wa mabao kimataifa,Sports news
2021-06-29,tl416,tsc opens spirit to knut after sossion 's departure,tsc yafungua roho kwa knut baada ya kuondoka kwa sossion,Local News
2021-04-07,tl1202,a man associated with the 'gaica army ' gang is fined sh30000 for three offenses,mwanamume anayehusishwa na genge la 'jeshi la gaica ' atozwa faini ya sh30000 kwa makosa matatu,Local News
2021-07-04,tl443,bbi : there are still many obstacles,bbi : bado kuna vikwazo vingi,Local News
2021-04-15,tl1250,chief justice : the night decision will disrupt koome,jaji mkuu : uamuzi wa usiku utamvuruga koome,Local News
2021-03-18,tl1737,former ntv presenter dies due to corona,mtangazaji wa zamani wa ntv afariki kutokana na corona,Local News
2021-06-20,tl311,kemri determines the impact of vaccines on kenyans,kemri aamua athari za chanjo kwa wakenya,Health news
2021-10-20,tl1053,awara got mganda drunk and robbed him of sh130000,awara alimlewesha mganda na kumpora sh130000,Local News
2021-06-25,tl389,cuba 's new vaccine named abdala sparks internet buzz,chanjo mpya ya cuba yatajwa abdala yazua gumzo mtandaoni,International news
2021-07-14,tl487,kra to sell kicc property to pay sh450m debt,kra kuuza mali ya kicc kulipa deni la sh450m,Financial news
2021-09-15,tl866,government to prevent theft of aid food for drought victims,serikali kuzuia wizi wa chakula cha misaada kwa waathirika wa ukame,Local News
2021-03-02,tl1641,sex videos to be legalized on the internet – aks,video za ngono kuhalalishwa kwenye mtandao - aks,Local News
2021-03-16,tl1726,uhuru mourns the journalist who died due to corona,uhuru amuomboleza mwandishi wa habari aliyefariki kutokana na corona,Local News
2021-03-31,tl1819,koinange was a trusted leader uhuruto mourns mp,koinange alikuwa kiongozi wa kuaminika uhuruto amuomboleza mbunge,Local News
2021-07-31,tl616,10 counties of mt kenya to eliminate business fees .,kaunti 10 za mt kenya kuondoa ada ya biashara .,Financial news
2021-05-19,tl1427,kamket wants to be given information about the whereabouts of speaker muturi and his security,kamket anataka kupewa taarifa kuhusu aliko spika muturi na usalama wake,Local News
2021-09-01,tl784,machines picking pickers work,mashine za kuokota pickers kazi,Local News
2021-08-24,tl735,teachers miss corona vaccination at the center,walimu wakosa chanjo ya corona kituoni,Local News
2021-06-11,tl246,onana banned for 12 months sentence reduced by three more months,onana apigwa marufuku kwa kifungo cha miezi 12 kupunguzwa kwa miezi mitatu zaidi,Local News
2021-08-30,tl771,the plan to pay new teachers early is a wise idea .,mpango wa kuwalipa walimu wapya mapema ni wazo la busara .,Local News
2021-08-24,tl738,police kills hospitalized boyfriend,polisi wamuua mpenzi aliyelazwa hospitalini,Local News
2021-06-11,tl257,fire burns more than 100 houses,moto wateketeza nyumba zaidi ya 100,Local News
2021-09-14,tl860,he believes acting talent will help many in the coming years,anaamini vipaji vya uigizaji vitawasaidia wengi katika miaka ijayo,Entertainment news
2021-05-24,tl1453,judge koome takes important office promising reform,jaji koome achukua ofisi muhimu kuahidi mageuzi,Local News
2021-02-09,tl1522,millions fraud suspect banned from traveling,mshukiwa wa udanganyifu wa mamilioni apigwa marufuku kusafiri,Local News
2021-03-08,tl1675,soldiers and health workers nakuru vaccination,wanajeshi na wahudumu wa afya nakuru chanjo,Health news
2021-05-11,tl1391,candidates use new cheating techniques kcse,wagombea kutumia mbinu mpya za udanganyifu kcse,Local News
2021-07-20,tl535,raila ambush on president 's visits to ukambani raises fear,raila ambush katika ziara ya rais ukambani yazua hofu,Local News
2022-06-24,tl117,about 50000 kiambu residents receive land titles,takriban wakazi 50000 wa kiambu wapokea hati miliki za ardhi,Local News
2021-03-01,tl1626,thousands of candidates missing kcpe and kcse,maelfu ya wagombea waliokosa kcpe na kcse,Local News
2021-09-23,tl914,cbc : kuppet also has complaints,cbc : kuppet pia ana malalamiko,Local News
2021-07-01,tl421,fire destroys the office of deputy commissioner lari police houses,moto wateketeza ofisi ya naibu kamishna lari nyumba za polisi,Local News
2021-11-21,tl1104,3 admitted to marsabit hospital after being attacked,3 wamelazwa katika hospitali ya marsabit baada ya kushambuliwa,Local News
2021-08-28,tl760,ruto wants answers about his defence,ruto ataka majibu kuhusu utetezi wake,Local News
2021-10-09,tl1018,a person who has a habit of stealing money from shops is beaten like a pig,mtu mwenye tabia ya kuiba pesa madukani anapigwa kama nguruwe,Local News
2021-06-22,tl329,the one who tried to kill him by mistake says he was protecting himself,aliyejaribu kumuua kwa makosa anasema alikuwa akijilinda,Local News
2021-02-15,tl1546,oil prices raise the cost of living,bei ya mafuta yapandisha gharama za maisha,Local News
2022-02-24,tl27,the family opposes the suspect of his father 's murder to be granted bail,familia yapinga mshukiwa wa mauaji ya baba yake kupewa dhamana,Local News
2021-06-10,tl232,the body disappears from the grave,mwili wapotea kaburini,Local News
2021-06-10,tl237,those who will reveal corruption scandals in government departments will be awarded sh2 - 5 million each,wale watakaofichua kashfa za ufisadi katika idara za serikali watapewa sh2 - milioni 5 kila mmoja,Local News
2021-02-24,tl1611,the corruption case of obado and his sons continues in nairobi .,kesi ya ufisadi ya obado na wanawe inaendelea jijini nairobi .,Local News
2021-05-21,tl1440,creditors statement of money spent to bbi,taarifa ya wakopeshaji fedha zilizotumika bbi,Local News
2022-06-02,tl87,raila misses the opportunity to address like previous events,raila akosa fursa ya kuhutubia kama matukio yaliyopita,Local News
2021-09-11,tl837,the government designs a new sub-county,serikali yabuni kata ndogo mpya,Local News
2021-07-21,tl544,covid forced some to go to tz for the party,covid ililazimisha baadhi kwenda tz kwa chama,Local News
2021-09-18,tl889,the case of forgery of education certificates against mp oscar sudi will be heard soon,kesi ya kughushi vyeti vya elimu dhidi ya mbunge oscar sudi itasikilizwa hivi karibuni,Local News
2021-06-10,tl234,celtic hires coach ange postecoglou to fill the gap of neil lennon,celtic yaajiri kocha ange postecoglou kujaza pengo la neil lennon,Local News
2022-03-15,tl35,the government exempts sports sponsors from taxes,serikali yawasamehe wadhamini wa michezo kodi,Sports news
2021-02-24,tl1610,the accused should be turned into a witness in the case of tax evasion,mtuhumiwa ageuzwe kuwa shahidi katika kesi ya ukwepaji kodi,Local News
2021-08-27,tl756,fear if the county lacks a vaccine against covid,hofu ikiwa kaunti itakosa chanjo dhidi ya covid,Health news
2021-05-26,tl1455,relief for fishermen when the factory is completed,unafuu kwa wavuvi kiwanda kitakapokamilika,Local News
2021-06-02,tl165,the mp wanted the government to build sunken schools,mbunge huyo alitaka serikali ijenge shule zilizozama,Local News
2021-02-04,tl1489,hundreds of elderly residents lose their homes due to hospital construction,mamia ya wakazi wazee wapoteza makazi yao kutokana na ujenzi wa hospitali,Local News
2021-07-22,tl557,sports articles - pema ladies fc,makala za michezo - pema ladies fc,Sports news
2021-06-02,tl162,those who kidnapped the child called his mother more than 70 phone calls,waliomteka nyara mtoto huyo walimpigia mama yake simu zaidi ya 70,Local News
2021-06-14,tl288,police recover stolen bridge from mukuru-kayaba,polisi wapata daraja lililoibiwa kutoka mukuru-kayaba,Local News
2021-08-18,tl711,a businessman admits to stealing sh0.2m through mpesa,mfanyabiashara akiri kuiba sh0.2 milioni kupitia mpesa,Local News
2022-02-21,tl24,mku describes the procedure for placing employees in a performance agreement,mku yaeleza utaratibu wa kuweka wafanyakazi katika mkataba wa utendaji,Local News
2021-07-22,tl551,100 families who lost their homes in the south b fire incident have not returned to their homes one month after the event,familia 100 zilizopoteza nyumba zao katika tukio la moto kusini b hazijarejea majumbani mwao mwezi mmoja baada ya tukio hilo,Local News
2021-02-27,tl1618,the re-election of gtma leaders was held in peace and tranquility,kuchaguliwa tena kwa viongozi wa gtma kulifanyika kwa amani na utulivu,Local News
2021-12-14,tl1139,colleges that offer agricultural studies are encouraged to have short courses to sharpen students apart from the professions they study,vyuo vinavyotoa masomo ya kilimo vyahimizwa kuwa na kozi fupi za kunoa wanafunzi mbali na taaluma wanazosoma,Local News
2021-05-31,tl1470,thiwasco establishes strategies to improve saf water services,thiwasco yaanzisha mikakati ya kuboresha huduma za maji saf,Local News
2021-03-23,tl1763,a family perishes crying for magufuli,familia yaangamia ikimlilia magufuli,Local News
2021-03-01,tl1631,pressure mp to pay ex-boyfriend sh200000 every month,mbunge wa shinikizo kumlipa mpenzi wa zamani sh200000 kila mwezi,Local News
2021-07-28,tl604,eacc accused of sabotaging efforts to recover kilifi public funds .,eacc inatuhumiwa kuhujumu juhudi za kurejesha fedha za umma za kilifi .,Local News
2021-07-19,tl518,simba sc playing for kenyan joash onyango sweeps the tz premier league title four times in a row,simba sc ikimchezea mkenya joash onyango yafagia tz tz ligi kuu mara nne mfululizo,Local News
2021-09-08,tl823,bags used as evidence of the murder of lawyer kimani 2016,mifuko iliyotumika kama ushahidi wa mauaji ya wakili kimani 2016,Local News
2021-02-18,tl1574,matiang ' i promises to crack down on drug traffickers,matiang ' i aahidi kuwakabili walanguzi wa dawa za kulevya,Local News
2022-06-20,tl112,babu owino claimed that he incited riot jacaranda,babu owino alidai kuwa alichochea ghasia jacaranda,Local News
2021-08-18,tl715,prisoners released to reduce overcrowding,wafungwa waachiwa kupunguza msongamano,Local News
2022-05-03,tl63,200 veterans receive treatment and food mavoloni area,maveterani 200 wapata matibabu na chakula eneo la mavoloni,Local News
2022-06-29,tl123,the government of tanzania condemns the trafficking of disabled children,serikali ya tanzania yalaani usafirishaji haramu wa watoto wenye ulemavu,Local News
2021-02-14,tl1541,kinaya cha sudi ngeno in the disciplinary panel,kinaya cha sudi ngeno katika jopo la nidhamu,Local News
2022-03-21,tl37,leicester city eliminated brentford and climbed to the top 10 in the epl table,leicester city iliondoa brentford na kupanda hadi 10 bora jedwali la epl,Sports news
2021-07-24,tl570,how 'wings to fly ' funding helped poor students,jinsi ufadhili wa 'wings to fly ' ulivyowasaidia wanafunzi maskini,Local News
2022-06-15,tl106,mwilu condemns the increase in child rape,mwilu alaani ongezeko la ubakaji kwa watoto,Local News
2021-06-22,tl327,peru upset colombia while ecuador and venezuela were strong in the copa america,peru iliikasirisha colombia huku ecuador na venezuela zikiwa imara katika michuano ya copa america,Sports news
2021-03-02,tl1637,street girls are warned against early marriage,wasichana wa mitaani waonywa dhidi ya ndoa za mapema,Local News
2021-11-07,tl1086,government failed to cope with drought - report,serikali yashindwa kukabiliana na ukame - ripoti,Local News
2021-06-10,tl228,deputy chief caught having sex with a student,naibu chifu akamatwa akifanya mapenzi na mwanafunzi,Local News
2021-09-11,tl839,the jungle foundation provides first aid training for kiambu students,wakfu wa jungle watoa mafunzo ya huduma ya kwanza kwa wanafunzi wa kiambu,Health news
2021-09-30,tl965,the history of malindi as an elegant town in swahili,historia ya malindi kama mji wa kifahari kwa kiswahili,Local News
2021-05-31,tl1466,the leader of those who do not recognize god is finally seen by jesus christ,kiongozi wa wale ambao hawamtambui mungu hatimaye anaonekana na yesu kristo,Local News
2021-06-14,tl287,more than 100 families lose their homes after fire destroys 150 houses in mukuru-kayaba street,zaidi ya familia 100 zapoteza makazi yao baada ya moto kuteketeza nyumba 150 katika mtaa wa mukuru-kayaba,Local News
2021-08-01,tl621,students are encouraged to embrace the 4-k club program to understand agriculture and animal husbandry,wanafunzi wahimizwa kukumbatia mpango wa klabu ya 4-k kuelewa kilimo na ufugaji wa wanyama,Local News
2021-04-11,tl1225,icc alleges gicheru bribed witnesses to leave case,icc yadai gicheru aliwahonga mashahidi kuondoka katika kesi,Local News
2021-09-23,tl915,wife deceived her husband that she was kidnapped,mke alimdanganya mumewe kuwa alitekwa nyara,Local News
2021-10-07,tl1006,kenya celebrates culture day,kenya yaadhimisha siku ya utamaduni,Local News
2021-09-20,tl899,peace : kalonzo awarded today in dubai,amani : kalonzo atuzwa leo dubai,International news
2021-09-22,tl905,the government declares war with illegal alcohol manufacturers in mount kenya,serikali yatangaza vita dhidi ya watengenezaji pombe haramu mlimani kenya,Local News
2021-09-01,tl783,survivors of the collapsed building say goodbye to the world,manusura wa jengo lililoporomoka waaga dunia,Local News
2021-02-11,tl1530,the 'same ' razor that shaved kang'ata,wembe wa 'same ' uliomnyoa kang'ata,Entertainment news
2021-04-27,tl1306,matumaini county looking for mango market abroad,kata ya matumaini kutafuta soko la maembe nje ya nchi,Entertainment news
2021-06-22,tl328,austria enters round of 16-top euros for first time in 67 years,austria yaingia raundi ya euro 16-juu kwa mara ya kwanza baada ya miaka 67,Sports news
2021-06-05,tl183,the government to build a sh25 million bridge to save the businesses of two counties,serikali kujenga daraja la sh25 milioni ili kuokoa biashara za kaunti mbili,Financial news
2021-02-15,tl1545,bishop says corona has given kenyans an opportunity to recognize god,askofu asema corona imewapa wakenya fursa ya kumtambua mungu,Local News
2021-03-24,tl1773,raila uhuru decide to compete in kisi,raila uhuru waamua kushindana kisi,Local News
2021-05-20,tl1437,the county praises basari for improving education,kata yampongeza basari kwa kuboresha elimu,Local News
2021-06-23,tl352,a young man is injured after being attacked by a hippopotamus,kijana mmoja ajeruhiwa baada ya kushambuliwa na kiboko,Local News
2022-01-02,tl4,'jungle ' wainaina explains how njonjo became a unique lawyer,'jungle ' wainaina aeleza jinsi njonjo alivyokuwa wakili wa kipekee,Entertainment news
2021-07-24,tl574,uhuru meets with 5 governors to plan a tour to the west,uhuru akutana na magavana 5 kupanga ziara magharibi,Local News
2021-06-11,tl258,shabana ask uungwija mhono .,shabana muulize uungwija mhono .,Local News
2021-08-08,tl656,iebc official to prepare second round of election 2022,afisa wa iebc kujiandaa raundi ya pili ya uchaguzi 2022,Local News
2021-03-06,tl1667,coasters want to swallow yatani about the port,coaster wanataka kumeza yatani kuhusu bandari,Local News
2021-09-28,tl950,chiloba now appointed head of communications authority,chiloba sasa ateuliwa kuwa mkuu wa mamlaka ya mawasiliano,Local News
2021-12-18,tl1152,simanzi 3 students driver died in accident .,simanzi wanafunzi 3 dereva alifariki katika ajali .,Local News
2021-03-19,tl1752,iebc seeks land to resettlement,iebc yataka ardhi kupewa makazi mapya,Local News
2021-06-28,tl409,government to ensure the residents of the streets of the huts get a safe train,serikali kuhakikisha wakazi wa mitaa ya vibanda hivyo wanapata treni salama,Local News
